date,STOCK_A,STOCK_B,BOND_C,COMMOD_D
2023-01-01,103.64,49.36,1008.06,198.69
2023-01-02,104.53,49.03,986.63,193.4
2023-01-03,106.65,48.26,993.03,191.02
2023-01-04,111.59,46.65,1020.23,182.8
2023-01-05,115.9,46.84,1006.66,185.19
2023-01-06,113.71,46.48,1004.16,179.44
2023-01-07,115.95,45.02,995.95,175.61
2023-01-08,115.66,45.46,1034.0,175.88
2023-01-09,115.48,44.66,1048.52,173.39
2023-01-10,116.49,44.73,1057.63,178.91
2023-01-11,116.88,45.41,1041.99,174.43
2023-01-12,120.39,45.55,1053.81,175.45
2023-01-13,122.3,46.62,1040.21,175.4
2023-01-14,122.66,45.51,1041.4,171.44
2023-01-15,123.81,45.9,1028.75,173.33
2023-01-16,124.7,45.3,1043.29,172.82
2023-01-17,128.55,44.54,1055.91,175.6
2023-01-18,128.09,44.05,1052.05,178.6
2023-01-19,128.96,43.8,1060.95,186.59
2023-01-20,126.84,43.87,1038.52,191.74
2023-01-21,120.58,42.88,1008.51,190.43
2023-01-22,122.23,43.68,1017.92,189.61
2023-01-23,124.43,44.11,1021.83,193.93
2023-01-24,122.65,42.8,1035.41,196.58
2023-01-25,128.41,44.11,1086.5,199.22
2023-01-26,124.79,45.84,1107.77,192.97
2023-01-27,124.97,46.96,1088.27,192.98
2023-01-28,124.57,46.81,1113.42,190.24
2023-01-29,128.51,45.84,1085.04,191.41
2023-01-30,132.41,46.84,1075.6,191.13
2023-01-31,132.88,46.49,1074.67,194.74
2023-02-01,133.96,47.66,1112.69,196.07
2023-02-02,131.67,47.89,1096.79,199.28
2023-02-03,126.62,48.86,1079.35,197.53
2023-02-04,125.8,49.23,1077.77,193.93
2023-02-05,126.26,49.96,1064.09,192.44
2023-02-06,129.47,49.99,1088.89,192.47
2023-02-07,132.69,51.83,1066.15,194.03
2023-02-08,131.73,51.99,1042.48,203.1
2023-02-09,131.0,52.44,1033.91,203.03
2023-02-10,128.35,54.48,1024.18,199.29
2023-02-11,124.82,53.06,1065.01,198.01
2023-02-12,120.69,51.75,1085.96,196.28
2023-02-13,125.55,52.79,1088.41,198.28
2023-02-14,124.34,51.59,1062.59,192.36
2023-02-15,123.32,53.66,1081.23,192.7
2023-02-16,120.33,53.25,1060.34,193.4
2023-02-17,122.27,52.48,1028.6,194.4
2023-02-18,118.45,54.57,1053.86,192.19
2023-02-19,118.01,56.24,1061.09,191.37
2023-02-20,115.97,58.41,1081.36,186.09
2023-02-21,116.93,59.5,1088.82,184.36
2023-02-22,115.8,58.52,1108.19,182.46
2023-02-23,113.15,60.83,1094.4,184.07
2023-02-24,113.14,60.53,1072.53,179.96
2023-02-25,114.18,61.54,1087.8,182.88
2023-02-26,114.38,62.75,1070.99,188.52
2023-02-27,115.14,62.59,1056.85,180.97
2023-02-28,113.74,63.39,1047.79,182.61
2023-03-01,112.98,64.6,1048.68,185.19
